Epoch,Loss_train,Loss_test,Accuracy_train,Accuracy_test
0,0.2315,0.1454,0.9295,0.9533
1,0.0946,0.0982,0.9721,0.9691
2,0.0597,0.0841,0.9821,0.9731
3,0.0398,0.0822,0.9887,0.9742
4,0.0266,0.0817,0.9932,0.9748
5,0.0174,0.075,0.9962,0.9757
6,0.0119,0.0763,0.9978,0.9779
7,0.008,0.0722,0.9988,0.979
8,0.0055,0.0738,0.9994,0.9792
9,0.0037,0.0721,0.9997,0.9803
10,0.0026,0.0734,0.9999,0.98
11,0.0018,0.0738,1.0,0.9811
12,0.0014,0.0734,1.0,0.9812
13,0.0011,0.0734,1.0,0.9813
14,0.0009,0.0737,1.0,0.9813
