Epoch,Loss_train,Loss_test,Accuracy_train,Accuracy_test
0,0.2432,0.1363,0.9256,0.9556
1,0.0984,0.1065,0.9706,0.9659
2,0.0622,0.0895,0.981,0.9707
3,0.0413,0.0813,0.9882,0.9748
4,0.0272,0.0826,0.993,0.9757
5,0.019,0.0776,0.9957,0.9765
6,0.0136,0.0776,0.9972,0.9779
7,0.0096,0.0745,0.9984,0.9791
8,0.0066,0.0725,0.9991,0.9797
9,0.0041,0.072,0.9997,0.98
10,0.0025,0.0742,0.9999,0.9797
11,0.0018,0.074,1.0,0.9805
12,0.0014,0.0739,1.0,0.9807
13,0.0011,0.074,1.0,0.9806
14,0.001,0.0742,1.0,0.9809
